ID,accepteret_dansk_navn,species,wcvp_species,gbif_species
336,NA,Aneura mirabilis,Anemia mirabilis,Aneura mirabilis
337,Tyk nerveløs,Aneura pinguis,,Aneura pinguis
338,Kvan,Angelica archangelica,Angelica archangelica,Angelica archangelica
339,Fjeld-kvan,Angelica archangelica subsp. archangelica,Angelica archangelica,Angelica archangelica
340,Strand-kvan,Angelica archangelica subsp. littoralis,Angelica archangelica,NA
341,Angelik,Angelica sylvestris,Angelica sylvestris,Angelica sylvestris
342,Storakset hejre,Anisantha diandra,Bromus diandrus,Bromus diandrus
343,Spansk hejre,Anisantha madritensis,Bromus madritensis,Bromus madritensis
344,Stiv hejre,Anisantha rigida,Bromus rigidus,Bromus rigidus
345,Rød hejre,Anisantha rubens,Bromus rubens,Bromus rubens
346,Gold hejre,Anisantha sterilis,Bromus sterilis,Bromus sterilis
347,Tag-hejre,Anisantha tectorum,Bromus tectorum,Bromus tectorum
348,Stuekatost,Anisodontea capensis,Anisodontea capensis,Anisodontea capensis
349,NA,Ankistrodesmus bibraianus,,Selenastrum bibraianum
350,NA,Ankistrodesmus falcatus,,Ankistrodesmus falcatus
351,NA,Ankistrodesmus fusiformis,,Ankistrodesmus fusiformis
352,NA,Ankistrodesmus gracilis,,Messastrum gracile
353,NA,Ankistrodesmus nannoselene,,Drepanochloris nannoselene
354,NA,Ankistrodesmus spiralis,,Ankistrodesmus spiralis
355,NA,Ankyra ancora,,Ankyra ancora
356,NA,Ankyra judayi,,Ankyra judayi
357,NA,Anoda cristata,Anoda cristata,Anoda cristata
358,Tyndgrenet matblad,Anomodon attenuatus,,Pseudanomodon attenuatus
359,Smal matblad,Anomodon longifolius,,Anomodontella longifolia
360,Robust matblad,Anomodon viticulosus,,Anomodon viticulosus
361,Kattefod,Antennaria dioica,Antennaria dioica,Antennaria dioica
362,NA,Antennaria hibernica,Antennaria dioica,Antennaria dioica
363,Ager-gåseurt,Anthemis arvensis,Anthemis arvensis,Anthemis arvensis
364,Ager-gåseurt × farve-gåseurt,Anthemis arvensis × Cota tinctoria,Anthemis arvensis,NA
365,Stinkende gåseurt,Anthemis cotula,Anthemis cotula,Anthemis cotula
366,NA,Anthemis muricata,Anthemis muricata,Anthemis muricata
367,Russisk gåseurt,Anthemis ruthenica,Anthemis ruthenica,Anthemis ruthenica
368,Ugrenet edderkopurt,Anthericum liliago,Anthericum liliago,Anthericum liliago
369,Grenet edderkopurt,Anthericum ramosum,Anthericum ramosum,Anthericum ramosum
370,NA,Anthoceros punctatus,,Anthoceros punctatus
371,Ru hornkapsel,Anthoceros punctatus subsp. agrestis,,Anthoceros agrestis
372,Enårig gulaks,Anthoxanthum aristatum,Anthoxanthum aristatum,Anthoxanthum aristatum
373,Vellugtende gulaks,Anthoxanthum odoratum,Anthoxanthum odoratum,Anthoxanthum odoratum
374,Gærde-kørvel,Anthriscus caucalis,Anthriscus caucalis,Anthriscus caucalis
375,Have-kørvel,Anthriscus cerefolium,Anthriscus cerefolium,Anthriscus cerefolium
376,Vild kørvel,Anthriscus sylvestris,Anthriscus sylvestris,Anthriscus sylvestris
377,Rundbælg,Anthyllis vulneraria,Anthyllis vulneraria,Anthyllis vulneraria
378,Almindelig rundbælg,Anthyllis vulneraria subsp. carpatica,Anthyllis vulneraria,Anthyllis vulneraria
379,Dansk rundbælg,Anthyllis vulneraria subsp. danica,Anthyllis vulneraria,Anthyllis vulneraria
380,Strand-rundbælg,Anthyllis vulneraria subsp. maritima,Anthyllis vulneraria,Anthyllis vulneraria
381,NA,Anthyllis vulneraria subsp. polyphylla,Anthyllis vulneraria,Anthyllis vulneraria
382,NA,Anthyllis vulneraria subsp. vulneraria,Anthyllis vulneraria,Anthyllis vulneraria
383,NA,Anthyllis vulneraria var. coccinea,Anthyllis vulneraria,Anthyllis vulneraria
384,Klit-rundbælg,Anthyllis vulneraria var. langei,Anthyllis vulneraria,Anthyllis vulneraria
385,NA,Anthyllis vulneraria var. pseudovulneraria,Anthyllis vulneraria,Anthyllis vulneraria
386,Liden rundbælg,Anthyllis vulneraria var. vulneraria,Anthyllis vulneraria,NA
387,Have-løvemund,Antirrhinum majus,Antirrhinum majus,Antirrhinum majus
388,Kortcellet korssky,Antithamnion cruciatum,,Antithamnion cruciatum
389,Langcellet korssky,Antithamnion villosum,,Antithamnion villosum
390,Regelmæssig havfjer,Antithamnionella floccosa,,Antithamnionella floccosa
391,NA,Antithamnionella ternifolia,,Antithamnionella ternifolia
392,Åben krogtand,Antitrichia curtipendula,,Antitrichia curtipendula
393,Alvar-vindaks,Apera interrupta,Apera interrupta,Apera interrupta
394,Vindaks,Apera spica-venti,Apera spica-venti,Apera spica-venti
395,Dværgløvefod,Aphanes arvensis,Alchemilla arvensis,Aphanes arvensis
396,Småfrugtet dværgløvefod,Aphanes australis,Alchemilla australis,Aphanes australis
397,Vild selleri,Apium graveolens,Apium graveolens,Apium graveolens
398,Bredbladet hundedød,Apocynum androsaemifolium,Apocynum androsaemifolium,Apocynum androsaemifolium
399,Tungeblad,Apoglossum ruscifolium,,Apoglossum ruscifolium
400,NA,Aposeris foetida,Aposeris foetida,Aposeris foetida
401,Middagshjerte,Aptenia cordifolia,Mesembryanthemum cordifolium,Mesembryanthemum cordifolium
402,Akeleje,Aquilegia vulgaris,Aquilegia vulgaris,Aquilegia vulgaris
403,Sandkarse,Arabidopsis arenosa,Arabidopsis arenosa,Arabidopsis arenosa
404,NA,Arabidopsis halleri,Arabidopsis halleri,Arabidopsis halleri
405,NA,Arabidopsis petraea,Arabidopsis lyrata,Arabidopsis petraea
406,Svensk gåsemad,Arabidopsis suecica,Arabidopsis suecica,Arabidopsis suecica
407,Almindelig gåsemad,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana
408,Fjeld-kalkkarse,Arabis alpina,Arabis alpina,Arabis alpina
409,NA,Arabis borealis,Arabis sagittata,Arabis borealis
410,Hvid kalkkarse,Arabis caucasica,Arabis caucasica,Arabis caucasica
411,Nikkende kalkkarse,Arabis ciliata,Arabis ciliata,Arabis ciliata
412,Stivhåret kalkkarse,Arabis hirsuta,Arabis hirsuta,Arabis hirsuta
413,Glat kalkkarse,Arabis hirsuta var. glaberrima,Arabis hirsuta,Arabis hirsuta
414,Stivhåret kalkkarse (varietet),Arabis hirsuta var. hirsuta,Arabis hirsuta,Arabis hirsuta
415,NA,Arabis pendula,Pseudoturritis turrita,NA
416,Jordnød,Arachis hypogaea,Arachis hypogaea,Arachis hypogaea
417,NA,Aralia cachemirica,Aralia cachemirica,Aralia cachemirica
418,NA,Aralia californica,Aralia californica,Aralia californica
419,Have-aralie,Aralia elata,Aralia elata,Aralia elata
420,NA,Aralia nudicaulis,Aralia nudicaulis,Aralia nudicaulis
421,Stor sporemos,Archidium alternifolium,,Archidium alternifolium
422,Glat burre,Arctium lappa,Arctium lappa,Arctium lappa
423,Glat burre × liden burre,Arctium lappa × minus,Arctium lappa,NA
424,Glat burre × skov-burre,Arctium lappa × nemorosum,Arctium lappa,NA
425,Glat burre × filtet burre,Arctium lappa × tomentosum,Arctium lappa,NA
426,Liden burre,Arctium minus,Arctium minus,Arctium minus
427,Liden burre × skov-burre,Arctium minus × nemorosum,Arctium minus,NA
428,Liden burre × filtet burre,Arctium minus × tomentosum,Arctium minus,NA
429,Skov-burre,Arctium nemorosum,Arctium nemorosum,Arctium nemorosum
430,Skov-burre × filtet burre,Arctium nemorosum × tomentosum,Arctium nemorosum,NA
431,Filtet burre,Arctium tomentosum,Arctium tomentosum,Arctium tomentosum
432,Hede-melbærris,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi
433,Bjerg-melbærris,Arctous alpina,Arctous alpina,Arctostaphylos alpinus
434,Middelhavs-markarve,Arenaria balearica,Arenaria balearica,Arenaria balearica
435,NA,Arenaria biflora,Arenaria biflora,Arenaria biflora
436,NA,Arenaria ciliata,Arenaria ciliata,Arenaria ciliata
437,Spæd markarve,Arenaria leptoclados,Arenaria leptoclados,Arenaria leptoclados
438,Almindelig markarve,Arenaria serpyllifolia,Arenaria serpyllifolia,Arenaria serpyllifolia
439,Kyst-markarve,Arenaria serpyllifolia subsp. lloydii,Arenaria serpyllifolia,Arenaria serpyllifolia
440,Almindelig markarve (underart),Arenaria serpyllifolia subsp. serpyllifolia,Arenaria serpyllifolia,Arenaria serpyllifolia
441,Mexicansk pigvalmue,Argemone mexicana,Argemone mexicana,Argemone mexicana
442,Gåsepotentil,Argentina anserina,Argentina anserina,Argentina anserina
443,Slangerod,Aristolochia clematitis,Aristolochia clematitis,Aristolochia clematitis
444,Tobakspibeplante,Aristolochia macrophylla,Aristolochia macrophylla,NA
445,Engelskgræs,Armeria maritima,Armeria maritima,Armeria maritima
446,Vej-engelskgræs,Armeria maritima subsp. elongata,Armeria maritima,Armeria maritima
447,Strand-engelskgræs,Armeria maritima subsp. maritima,Armeria maritima,Armeria maritima
448,Fjeld-engelskgræs,Armeria scabra,Armeria maritima,Armeria scabra
449,Peberrod,Armoracia rusticana,Armoracia rusticana,Armoracia rusticana
450,Guldblomme,Arnica montana,Arnica montana,Arnica montana
451,Svineøje,Arnoseris minima,Arnoseris minima,Arnoseris minima
452,Blommebladet surbær,Aronia ×prunifolia,Aronia x prunifolia,Aronia prunifolia
453,Klarbundbladet abild,Aronia arbutifolia,Aronia arbutifolia,Aronia arbutifolia
454,Sortfrugtet surbær,Aronia melanocarpa,Aronia melanocarpa,Aronia melanocarpa
455,Draphavre,Arrhenatherum elatius,Arrhenatherum elatius,Arrhenatherum elatius
456,Knold-draphavre,Arrhenatherum elatius subsp. bulbosum,Arrhenatherum elatius,Arrhenatherum elatius
457,Almindelig draphavre,Arrhenatherum elatius subsp. elatius,Arrhenatherum elatius,Arrhenatherum elatius
458,Ambra,Artemisia abrotanum,Artemisia abrotanum,Artemisia abrotanum
459,Havemalurt,Artemisia absinthium,Artemisia absinthium,Artemisia absinthium
460,Enårig malurt,Artemisia annua,Artemisia annua,Artemisia annua
461,NA,Artemisia austriaca,Artemisia austriaca,Artemisia austriaca
462,Toårig bynke,Artemisia biennis,Artemisia biennis,Artemisia biennis
463,Mark-bynke,Artemisia campestris,Artemisia campestris,Artemisia campestris
464,NA,Artemisia campestris subsp. campestris,Artemisia campestris,Artemisia campestris
465,NA,Artemisia campestris subsp. caudata,Artemisia campestris,Artemisia campestris
466,Esdragon,Artemisia dracunculus,Artemisia dracunculus,Artemisia dracunculus
467,Hvid bynke,Artemisia ludoviciana,Artemisia ludoviciana,Artemisia ludoviciana
468,Strandmalurt,Artemisia maritima,Artemisia maritima,Artemisia maritima
469,Pontisk bynke,Artemisia pontica,Artemisia pontica,Artemisia pontica
470,Grenet bynke,Artemisia scoparia,Artemisia scoparia,Artemisia scoparia
471,NA,Artemisia siversiana,Artemisia sieversiana,Artemisia sieversiana
472,Sølv-bynke,Artemisia stelleriana,Artemisia stelleriana,Artemisia stelleriana
473,Grøn bynke,Artemisia verlotiorum,Artemisia verlotiorum,Artemisia verlotiorum
474,Grå-bynke,Artemisia vulgaris,Artemisia vulgaris,Artemisia vulgaris
475,NA,Artemisia vulgaris subsp. mexicana,Artemisia ludoviciana,Artemisia ludoviciana
476,NA,Artemisia vulgaris subsp. selengensis,Artemisia vulgaris,Artemisia vulgaris
477,Filtet gråbynke,Artemisia vulgaris var. coarctata,Artemisia vulgaris,Artemisia vulgaris
478,Grå-bynke (varietet),Artemisia vulgaris var. vulgaris,Artemisia vulgaris,Artemisia vulgaris
479,Dansk arum,Arum cylindraceum,Arum cylindraceum,Arum cylindraceum
480,Italiensk arum,Arum italicum,Arum italicum,Arum italicum
481,Plettet arum,Arum maculatum,Arum maculatum,Arum maculatum
482,NA,Arum orientale,Arum orientale,Arum orientale
483,Fjerbusk,Aruncus dioicus,Aruncus dioicus,Aruncus dioicus
484,Hasselurt,Asarum europaeum,Asarum europaeum,Asarum europaeum
485,Kæmpe-silkeplante,Asclepias syriaca,Asclepias syriaca,Asclepias syriaca
486,Asparges,Asparagus officinalis,Asparagus officinalis,Asparagus officinalis
487,River,Asperugo procumbens,Asperugo procumbens,Asperugo procumbens
488,Blåmærke,Asperula arvensis,Asperula arvensis,Asperula arvensis
489,Gul mysike,Asperula laevigata,Asperula laevigata,Asperula laevigata
490,Orientalsk mysike,Asperula orientalis,Asperula orientalis,Asperula orientalis
491,Kaukasisk mysike,Asperula taurina,Asperula taurina,Asperula taurina
492,Farve-mysike,Asperula tinctoria,Asperula tinctoria,Asperula tinctoria
493,Kejserlys,Asphodeline lutea,Asphodeline lutea,Asphodeline lutea
494,Hvid affodil,Asphodelus albus,Asphodelus albus,Asphodelus albus
495,Hulstilket affodil,Asphodelus fistulosus,Asphodelus fistulosus,Asphodelus fistulosus
496,Sort radeløv,Asplenium adiantum-nigrum,Asplenium adiantum-nigrum,Asplenium adiantum-nigrum
497,Murrude,Asplenium ruta-muraria,Asplenium ruta-muraria,Asplenium ruta-muraria
498,Hjortetunge,Asplenium scolopendrium,Asplenium scolopendrium,Asplenium scolopendrium
499,Nordisk radeløv,Asplenium septentrionale,Asplenium septentrionale,Asplenium septentrionale
500,Nordisk radeløv × rundfinnet radeløv,Asplenium septentrionale × trichomanes subsp. trichomanes,Asplenium septentrionale,NA
501,Rundfinnet radeløv,Asplenium trichomanes,Asplenium trichomanes,Asplenium trichomanes
502,Kalk-radeløv,Asplenium trichomanes subsp. quadrivalens,Asplenium trichomanes,Asplenium quadrivalens
503,Rundfinnet radeløv (underart),Asplenium trichomanes subsp. trichomanes,Asplenium trichomanes,Asplenium trichomanes
504,Virgils asters,Aster amellus,Aster amellus,Aster amellus
505,NA,Asterococcus limneticus,,Asterococcus limneticus
506,Hybrid-astilbe,Astilbe ×arendsii,Astilbe x rosea,NA
507,Japansk astilbe,Astilbe japonica,Astilbe japonica,Astilbe japonica
508,Parasolblad,Astilboides tabularis,Astilboides tabularis,Astilboides tabularis
509,Alpe-astragel,Astragalus alpinus,Astragalus alpinus,Astragalus alpinus
510,Lys alpe-astragal,Astragalus alpinus var. alpinus,Astragalus alpinus,Astragalus alpinus
511,Mørk alpe-astragel,Astragalus alpinus var. arcticus,Astragalus norvegicus,NA
512,Sand-astragel,Astragalus arenarius,Astragalus arenarius,Astragalus arenarius
513,Rundbælget astragel,Astragalus cicer,Astragalus cicer,Astragalus cicer
514,Dansk astragel,Astragalus danicus,Astragalus danicus,Astragalus danicus
515,Gul astragel,Astragalus frigidus,Astragalus frigidus,Astragalus frigidus
516,Sød astragel,Astragalus glycyphyllos,Astragalus glycyphyllos,Astragalus glycyphyllos
517,Krog-astragel,Astragalus hamosus,Astragalus hamosus,Astragalus hamosus
518,Norsk astragel,Astragalus norvegicus,Astragalus norvegicus,Astragalus norvegicus
519,Blære-astragel,Astragalus penduliflorus,Astragalus penduliflorus,Astragalus penduliflorus
520,Stjerneskærm,Astrantia major,Astrantia major,Astrantia major
521,Kaukasisk stjerneskærm,Astrantia maxima,Astrantia maxima,Astrantia maxima
522,Fjerbregne,Athyrium filix-femina,Athyrium filix-femina,Athyrium filix-femina
523,Knippe-limurt,Atocion armeria,Atocion armeria,Atocion armeria
524,Fjerkrans,Atractophora hypnoides,,Atractophora hypnoides
525,Smalbladet katrinemos,Atrichum angustatum,,Atrichum angustatum
526,Lille katrinemos,Atrichum tenellum,,Atrichum tenellum
527,Bølget katrinemos,Atrichum undulatum,,Atrichum undulatum
528,NA,Atriplex argentea,Atriplex argentea,Atriplex argentea
529,NA,Atriplex australasica,Atriplex australasica,Atriplex australasica
530,Skønbægret mælde,Atriplex calotheca,Atriplex prostrata,Atriplex calotheca
531,Skønbægret mælde × tykbladet mælde,Atriplex calotheca × glabriuscula,Atriplex prostrata,NA
532,Skønbægret mælde × stilk-mælde,Atriplex calotheca × longipes subsp. longipes,Atriplex prostrata,NA
533,Skønbægret mælde × spyd-mælde,Atriplex calotheca × prostrata,Atriplex prostrata,NA
534,Tandet spyd-mælde,Atriplex deltoidea,Atriplex prostrata,Atriplex prostrata
535,Tykbladet mælde,Atriplex glabriuscula,Atriplex glabriuscula,Atriplex glabriuscula
536,Tykbladet mælde × stilk-mælde,Atriplex glabriuscula × longipes subsp. longipes,Atriplex glabriuscula,NA
537,Tykbladet mælde × spyd-mælde,Atriplex glabriuscula × prostrata,Atriplex glabriuscula,NA
538,Have-mælde,Atriplex hortensis,Atriplex hortensis,Atriplex hortensis
539,Sølv-mælde,Atriplex laciniata,Atriplex laciniata,Atriplex laciniata
540,Bredbladet spyd-mælde,Atriplex latifolia,Atriplex prostrata,Atriplex prostrata
541,Strand-mælde,Atriplex littoralis,Atriplex littoralis,Atriplex littoralis
542,Strand-mælde × svine-mælde,Atriplex littoralis × patula,Atriplex littoralis,NA
543,Strand-mælde × spyd-mælde,Atriplex littoralis × prostrata,Atriplex littoralis,NA
544,Stilk-mælde,Atriplex longipes,Atriplex longipes,Atriplex longipes
545,Stilk-mælde (underart),Atriplex longipes subsp. longipes,Atriplex longipes,NA
546,Stilk-mælde × spyd-mælde,Atriplex longipes subsp. longipes × prostrata,Atriplex longipes,NA
547,Tidlig stilk-mælde,Atriplex longipes subsp. praecox,Atriplex nudicaulis,Atriplex praecox
548,Langbladet mælde,Atriplex oblongifolia,Atriplex oblongifolia,Atriplex oblongifolia
549,Svine-mælde,Atriplex patula,Atriplex patula,Atriplex patula
550,Stilket kilebæger,Atriplex pedunculata,Atriplex pedunculata,Halimione pedunculata
551,NA,Atriplex platensis,Atriplex prostrata,Atriplex prostrata
552,Stilkløs kilebæger,Atriplex portulacoides,Atriplex portulacoides,NA
553,Spyd-mælde,Atriplex prostrata,Atriplex prostrata,Atriplex prostrata
554,NA,Atriplex prostrata subsp. polonica,Atriplex prostrata,Atriplex prostrata
555,NA,Atriplex prostrata subsp. prostrata,Atriplex prostrata,Atriplex prostrata
556,NA,Atriplex rosea,Atriplex rosea,Atriplex rosea
557,Glans-mælde,Atriplex sagittata,Atriplex sagittata,Atriplex sagittata
558,NA,Atriplex sibirica,Atriplex sibirica,Atriplex sibirica
559,NA,Atriplex suberecta,Atriplex suberecta,Atriplex suberecta
560,Tatarisk mælde,Atriplex tatarica,Atriplex tatarica,Atriplex tatarica
561,Melet spyd-mælde,Atriplex triangularis,Atriplex prostrata,Atriplex prostrata
562,NA,Atriplex tricostata,,Atriplex tricostata
563,Galnebær,Atropa bella-donna,Atropa bella-donna,Atropa belladonna
564,Blåpude,Aubrieta ×cultorum,Aubrieta x cultorum,Aubrieta cultorum
565,NA,Audouinella endozoica,,Audouinella endozoica
566,Kugle-filtmos,Aulacomnium androgynum,,Aulacomnium androgynum
567,Almindelig filtmos,Aulacomnium palustre,,Aulacomnium palustre
568,NA,Aurinia petraea,Aurinia petraea,Aurinia petraea
569,Guldslør,Aurinia saxatilis,Aurinia saxatilis,Aurinia saxatilis
570,Skæg-havre,Avena barbata,Avena barbata,Avena barbata
571,Rød havre,Avena byzantina,Avena byzantina,Avena byzantina
572,Flyve-havre,Avena fatua,Avena fatua,Avena fatua
573,Flyve-havre × almindelig havre,Avena fatua × sativa,Avena fatua,NA
574,Almindelig havre,Avena sativa,Avena sativa,Avena sativa
575,Sværd-havre,Avena sativa var. contracta,Avena sativa,Avena sativa
576,Almindelig havre (varietet),Avena sativa var. sativa,Avena sativa,Avena sativa
577,Gold havre,Avena sterilis,Avena sterilis,Avena sterilis
578,Småblomstret havre,Avena sterilis subsp. ludoviciana,Avena sterilis,Avena sterilis
579,Gold havre (underart),Avena sterilis subsp. sterilis,Avena sterilis,Avena sterilis
580,Pur-havre,Avena strigosa,Avena strigosa,Avena strigosa
581,Bølget bunke,Avenella flexuosa,Avenella flexuosa,Avenella flexuosa
582,Eng-havre,Avenula pratensis,Helictochloa pratensis,Helictochloa pratensis
583,Dunet havre,Avenula pubescens,Avenula pubescens,Avenula pubescens
584,Gulddusk,Axyris amaranthoides,Axyris amaranthoides,Axyris amaranthoides
585,Andemadsbregne,Azolla filiculoides,Azolla filiculoides,Azolla filiculoides
586,NA,Azolla mexicana,Azolla filiculoides,Azolla mexicana
587,NA,Azolla microphylla,Azolla filiculoides,Azolla cristata
588,Ørkenkorsrod,Baccharis halimifolia,Baccharis halimifolia,Baccharis halimifolia
589,Søpryd,Baldellia ranunculoides,Baldellia ranunculoides,Baldellia ranunculoides
590,Krybende søpryd,Baldellia repens,Baldellia repens,Baldellia repens
591,Tandbæger,Ballota nigra,Ballota nigra,Ballota nigra
592,Hvid tandbæger,Ballota nigra subsp. meridionalis,Ballota nigra,Ballota nigra
593,Rød tandbæger,Ballota nigra subsp. nigra,Ballota nigra,Ballota nigra
594,NA,Bambusina borreri,,Bambusina borreri
595,Purpurtråd,Bangia fuscopurpurea,,Bangia fuscopurpurea
596,Randhåret vinterkarse,Barbarea intermedia,Barbarea intermedia,Barbarea intermedia
597,Randhåret vinterkarse × almindelig vinterkarse,Barbarea intermedia × vulgaris,Barbarea intermedia,NA
598,Rank vinterkarse,Barbarea stricta,Barbarea stricta,Barbarea stricta
599,Rank vinterkarse × almindelig vinterkarse,Barbarea stricta × vulgaris,Barbarea stricta,NA
600,Langskulpet vinterkarse,Barbarea verna,Barbarea verna,Barbarea verna
601,Almindelig vinterkarse,Barbarea vulgaris,Barbarea vulgaris,Barbarea vulgaris
602,Udspærret vinterkarse,Barbarea vulgaris var. arcuata,Barbarea vulgaris,Barbarea vulgaris
603,Almindelig vinterkarse (varietet),Barbarea vulgaris var. vulgaris,Barbarea vulgaris,Barbarea vulgaris
604,Violet snohår,Barbula convoluta,,Streblotrichum convolutum
